Season,Year_City,year,name,value
Summer,1976 Montreal,1976-01-01,EGY,0
Summer,1984 Los Angeles,1984-01-01,EGY,1
Summer,1972 Munich,1972-01-01,EGY,0
Summer,1976 Montreal,1976-01-01,TUN,0
Summer,1988 Seoul,1988-01-01,EGY,0
Summer,1996 Atlanta,1996-01-01,LBA,0
Summer,1936 Berlin,1936-01-01,EGY,5
Summer,2008 Beijing,2008-01-01,SUD,1
Summer,1980 Moskva,1980-01-01,ALG,0
Summer,1988 Seoul,1988-01-01,ALG,0
Summer,1992 Barcelona,1992-01-01,ALG,2
Summer,2008 Beijing,2008-01-01,ALG,2
Summer,2016 Rio de Janeiro,2016-01-01,IRI,8
Summer,2016 Rio de Janeiro,2016-01-01,BEL,6
Summer,2012 London,2012-01-01,AUS,35
Summer,1992 Barcelona,1992-01-01,QAT,1
Summer,1996 Atlanta,1996-01-01,QAT,0
Summer,1988 Seoul,1988-01-01,DJI,1
Summer,1992 Barcelona,1992-01-01,DJI,0
Summer,2000 Sydney,2000-01-01,USA,91
Summer,2012 London,2012-01-01,USA,103
Summer,2000 Sydney,2000-01-01,AUS,58
Summer,2004 Athina,2004-01-01,AUS,50
Summer,2008 Beijing,2008-01-01,PLE,0
Summer,1984 Los Angeles,1984-01-01,CAN,44
Summer,1976 Montreal,1976-01-01,IRI,2
Summer,2012 London,2012-01-01,CMR,0
Summer,1996 Atlanta,1996-01-01,COM,0
Summer,1996 Atlanta,1996-01-01,CHA,0
Summer,2016 Rio de Janeiro,2016-01-01,CMR,0
Summer,2016 Rio de Janeiro,2016-01-01,KAZ,18
Summer,2016 Rio de Janeiro,2016-01-01,BRU,0
Summer,1980 Moskva,1980-01-01,IRQ,0
Summer,2000 Sydney,2000-01-01,KUW,1
Summer,1996 Atlanta,1996-01-01,MAS,2
Summer,2000 Sydney,2000-01-01,MAS,0
Summer,1992 Barcelona,1992-01-01,MAS,1
Summer,1996 Atlanta,1996-01-01,BRU,0
Summer,2000 Sydney,2000-01-01,BRU,0
Summer,2000 Sydney,2000-01-01,SUD,0
Summer,1928 Amsterdam,1928-01-01,IND,1
Summer,1960 Roma,1960-01-01,IRQ,1
Summer,1984 Los Angeles,1984-01-01,KSA,0
Summer,1980 Moskva,1980-01-01,SYR,0
Summer,1988 Seoul,1988-01-01,MDV,0
Summer,2000 Sydney,2000-01-01,BRN,0
Summer,1984 Los Angeles,1984-01-01,BRN,0
Summer,1972 Munich,1972-01-01,ETH,2
Summer,1968 Mexico City,1968-01-01,MAS,0
Summer,1960 Roma,1960-01-01,PAK,2
Summer,1964 Tokyo,1964-01-01,PAK,1
Summer,2008 Beijing,2008-01-01,IRQ,0
Summer,2012 London,2012-01-01,IRQ,0
Summer,1948 London,1948-01-01,PAK,0
Summer,1996 Atlanta,1996-01-01,UAE,0
Summer,1988 Seoul,1988-01-01,YAR,0
Summer,1952 Helsinki,1952-01-01,PAK,0
Summer,2004 Athina,2004-01-01,INA,4
Summer,1968 Mexico City,1968-01-01,NGR,0
Summer,1972 Munich,1972-01-01,URS,99
Summer,1968 Mexico City,1968-01-01,PHI,0
Summer,2008 Beijing,2008-01-01,QAT,0
Summer,1992 Barcelona,1992-01-01,IRQ,0
Summer,1988 Seoul,1988-01-01,UAE,0
Summer,1984 Los Angeles,1984-01-01,UAE,0
Summer,1992 Barcelona,1992-01-01,KUW,0
Summer,1992 Barcelona,1992-01-01,SGP,0
Summer,1996 Atlanta,1996-01-01,SGP,0
Summer,1988 Seoul,1988-01-01,NGR,0
Summer,1996 Atlanta,1996-01-01,AZE,1
Summer,1996 Atlanta,1996-01-01,UZB,2
Summer,2000 Sydney,2000-01-01,UZB,4
Summer,2012 London,2012-01-01,UZB,3
Summer,2016 Rio de Janeiro,2016-01-01,UZB,13
Summer,2004 Athina,2004-01-01,AZE,5
Summer,2012 London,2012-01-01,AZE,10
Summer,2012 London,2012-01-01,UAE,0
Summer,1988 Seoul,1988-01-01,KUW,0
Summer,2004 Athina,2004-01-01,UZB,5
Summer,2008 Beijing,2008-01-01,KGZ,2
Summer,2012 London,2012-01-01,KGZ,0
Summer,2016 Rio de Janeiro,2016-01-01,TJK,1
Summer,2016 Rio de Janeiro,2016-01-01,RUS,56
Summer,2004 Athina,2004-01-01,TJK,0
Summer,2008 Beijing,2008-01-01,TJK,2
Summer,2012 London,2012-01-01,TJK,1
Summer,1980 Moskva,1980-01-01,LBA,0
Summer,1992 Barcelona,1992-01-01,EUN,112
Summer,1988 Seoul,1988-01-01,URS,131
Summer,2004 Athina,2004-01-01,KGZ,0
Summer,1936 Berlin,1936-01-01,JPN,20
Winter,1972 Sapporo,1972-01-01,JPN,3
Winter,1976 Innsbruck,1976-01-01,JPN,0
Summer,1960 Roma,1960-01-01,JPN,18
Summer,1992 Barcelona,1992-01-01,JPN,22
Summer,1972 Munich,1972-01-01,JPN,29
Winter,1988 Calgary,1988-01-01,JPN,1
Winter,1992 Albertville,1992-01-01,JPN,7
Winter,1994 Lillehammer,1994-01-01,JPN,5
Summer,1968 Mexico City,1968-01-01,JPN,25
Summer,1976 Montreal,1976-01-01,JPN,25
Summer,2000 Sydney,2000-01-01,JPN,18
Summer,2008 Beijing,2008-01-01,JPN,25
Summer,1996 Atlanta,1996-01-01,JPN,14
Summer,1984 Los Angeles,1984-01-01,JPN,31
Summer,1988 Seoul,1988-01-01,JPN,14
Summer,2004 Athina,2004-01-01,JPN,37
Summer,1980 Moskva,1980-01-01,CGO,0
Summer,1992 Barcelona,1992-01-01,ETH,3
Summer,1984 Los Angeles,1984-01-01,CMR,1
Summer,1924 Paris,1924-01-01,SUI,25
Summer,1928 Amsterdam,1928-01-01,SUI,17
Summer,1972 Munich,1972-01-01,BRA,2
Summer,1976 Montreal,1976-01-01,BRA,2
Summer,2004 Athina,2004-01-01,ESP,20
Summer,1928 Amsterdam,1928-01-01,GER,39
Winter,1924 Chamonix,1924-01-01,USA,4
Winter,1952 Oslo,1952-01-01,CAN,2
Winter,1976 Innsbruck,1976-01-01,FRG,10
Winter,1980 Lake Placid,1980-01-01,FRG,5
Summer,1972 Munich,1972-01-01,GDR,66
Summer,2012 London,2012-01-01,CAN,18
Summer,2016 Rio de Janeiro,2016-01-01,CAN,22
Summer,2008 Beijing,2008-01-01,GER,41
Summer,2000 Sydney,2000-01-01,ESP,11
Summer,1924 Paris,1924-01-01,MON,1
Summer,1936 Berlin,1936-01-01,MON,0
Summer,1948 London,1948-01-01,MON,0
Summer,1952 Helsinki,1952-01-01,MON,0
Summer,2012 London,2012-01-01,CUB,14
Summer,1992 Barcelona,1992-01-01,ESP,22
Summer,2016 Rio de Janeiro,2016-01-01,GER,42
Summer,1960 Roma,1960-01-01,ISR,0
Summer,1904 St. Louis,1904-01-01,USA,230
Summer,2016 Rio de Janeiro,2016-01-01,MEX,5
Summer,1948 London,1948-01-01,URU,2
Winter,1980 Lake Placid,1980-01-01,ARG,0
Summer,1988 Seoul,1988-01-01,ESP,4
Summer,1952 Helsinki,1952-01-01,ESP,1
Summer,1996 Atlanta,1996-01-01,CMR,0
Summer,2000 Sydney,2000-01-01,ETH,8
Summer,2016 Rio de Janeiro,2016-01-01,ETH,8
Summer,1968 Mexico City,1968-01-01,ARG,2
Summer,1972 Munich,1972-01-01,ARG,1
Summer,1976 Montreal,1976-01-01,ARG,0
Summer,1912 Stockholm,1912-01-01,SWE,65
Winter,1992 Albertville,1992-01-01,SWE,4
Summer,1988 Seoul,1988-01-01,SWE,11
Summer,1948 London,1948-01-01,SWE,46
Summer,1952 Helsinki,1952-01-01,SWE,35
Winter,1988 Calgary,1988-01-01,ISV,0
Winter,1992 Albertville,1992-01-01,ISV,0
Winter,1994 Lillehammer,1994-01-01,ISV,0
Winter,1998 Nagano,1998-01-01,ISV,0
Winter,2002 Salt Lake City,2002-01-01,ISV,0
