Season,Year_City,year,name,value
Summer,2016 Rio de Janeiro,2016-01-01,UKR,11
Winter,1998 Nagano,1998-01-01,RUS,18
Summer,2000 Sydney,2000-01-01,CYP,0
Summer,2004 Athina,2004-01-01,CYP,0
Summer,2008 Beijing,2008-01-01,CYP,0
Summer,2012 London,2012-01-01,CYP,1
Summer,2004 Athina,2004-01-01,IRI,6
Winter,2014 Sochi,2014-01-01,KAZ,1
Summer,1996 Atlanta,1996-01-01,BLR,15
Summer,2000 Sydney,2000-01-01,KAZ,7
Winter,2002 Salt Lake City,2002-01-01,GEO,0
Summer,2000 Sydney,2000-01-01,KGZ,1
Summer,2000 Sydney,2000-01-01,BAN,0
Summer,2004 Athina,2004-01-01,BAN,0
Summer,1996 Atlanta,1996-01-01,PNG,0
Winter,1968 Grenoble,1968-01-01,JPN,0
Summer,2004 Athina,2004-01-01,NGR,2
Summer,1980 Moskva,1980-01-01,UGA,1
Summer,2008 Beijing,2008-01-01,KEN,15
Summer,1972 Munich,1972-01-01,MAR,0
Summer,1984 Los Angeles,1984-01-01,SUD,0
Summer,1988 Seoul,1988-01-01,TAN,0
Summer,1984 Los Angeles,1984-01-01,FIN,12
Summer,1964 Tokyo,1964-01-01,IND,1
Summer,1996 Atlanta,1996-01-01,TOG,0
Summer,1960 Roma,1960-01-01,NGR,0
Summer,1896 Athina,1896-01-01,GRE,44
Summer,2016 Rio de Janeiro,2016-01-01,TUN,3
Summer,1980 Moskva,1980-01-01,AFG,0
Summer,1996 Atlanta,1996-01-01,DEN,6
Summer,1980 Moskva,1980-01-01,LIB,1
Summer,2004 Athina,2004-01-01,SYR,1
Summer,1976 Montreal,1976-01-01,KSA,0
Summer,1992 Barcelona,1992-01-01,UAE,0
Summer,2004 Athina,2004-01-01,YEM,0
Summer,1996 Atlanta,1996-01-01,KUW,0
Summer,2016 Rio de Janeiro,2016-01-01,IOA,2
Summer,1996 Atlanta,1996-01-01,KSA,0
Summer,2000 Sydney,2000-01-01,KSA,2
Summer,2004 Athina,2004-01-01,KSA,0
Summer,1984 Los Angeles,1984-01-01,OMA,0
Summer,2016 Rio de Janeiro,2016-01-01,OMA,0
Summer,1988 Seoul,1988-01-01,KSA,0
Summer,1992 Barcelona,1992-01-01,BRN,0
Summer,2008 Beijing,2008-01-01,KSA,0
Summer,2012 London,2012-01-01,KSA,1
Summer,1992 Barcelona,1992-01-01,OMA,0
Summer,1992 Barcelona,1992-01-01,SYR,0
Summer,2012 London,2012-01-01,KUW,1
Summer,2004 Athina,2004-01-01,LIB,0
Summer,2012 London,2012-01-01,QAT,2
Summer,2000 Sydney,2000-01-01,QAT,1
Summer,2016 Rio de Janeiro,2016-01-01,QAT,1
Summer,2000 Sydney,2000-01-01,LIB,0
Summer,2004 Athina,2004-01-01,KUW,0
Summer,2008 Beijing,2008-01-01,KUW,0
Summer,1972 Munich,1972-01-01,KSA,0
Summer,1992 Barcelona,1992-01-01,KSA,0
Summer,1988 Seoul,1988-01-01,SYR,0
Summer,2004 Athina,2004-01-01,UAE,1
Summer,2016 Rio de Janeiro,2016-01-01,UAE,1
Summer,1988 Seoul,1988-01-01,OMA,0
Summer,2004 Athina,2004-01-01,BRN,0
Summer,2008 Beijing,2008-01-01,BRN,0
Summer,2008 Beijing,2008-01-01,SYR,0
Summer,2008 Beijing,2008-01-01,OMA,0
Summer,1996 Atlanta,1996-01-01,BRN,0
Summer,2000 Sydney,2000-01-01,OMA,0
Summer,2004 Athina,2004-01-01,OMA,0
Summer,2000 Sydney,2000-01-01,PLE,0
Summer,1988 Seoul,1988-01-01,BRN,0
Summer,1992 Barcelona,1992-01-01,YEM,0
Summer,2012 London,2012-01-01,BRN,1
Summer,2008 Beijing,2008-01-01,YEM,0
Summer,2012 London,2012-01-01,YEM,0
Summer,1984 Los Angeles,1984-01-01,YAR,0
Summer,2012 London,2012-01-01,OMA,0
Summer,2008 Beijing,2008-01-01,JOR,0
Summer,1992 Barcelona,1992-01-01,JOR,0
Summer,1996 Atlanta,1996-01-01,OMA,0
Summer,1996 Atlanta,1996-01-01,YEM,0
Summer,2008 Beijing,2008-01-01,UAE,0
Summer,1988 Seoul,1988-01-01,QAT,0
Summer,1968 Mexico City,1968-01-01,IRQ,0
Summer,2000 Sydney,2000-01-01,YEM,0
Summer,2000 Sydney,2000-01-01,UAE,0
Summer,2012 London,2012-01-01,SUD,0
Summer,1996 Atlanta,1996-01-01,JOR,0
Summer,1960 Roma,1960-01-01,TUN,0
Summer,2008 Beijing,2008-01-01,FIN,4
Summer,2012 London,2012-01-01,FIN,3
Summer,1976 Montreal,1976-01-01,BEL,6
Summer,1980 Moskva,1980-01-01,BEL,1
Winter,1998 Nagano,1998-01-01,TUR,0
Winter,2002 Salt Lake City,2002-01-01,TUR,0
Summer,1964 Tokyo,1964-01-01,MAS,0
Summer,1912 Stockholm,1912-01-01,ITA,8
Summer,2012 London,2012-01-01,FIJ,0
Summer,1988 Seoul,1988-01-01,BAN,0
Summer,1956 Melbourne,1956-01-01,PAK,1
Summer,1996 Atlanta,1996-01-01,BAN,0
Summer,2004 Athina,2004-01-01,BEN,0
Summer,1920 Antwerpen,1920-01-01,FRA,42
Summer,1964 Tokyo,1964-01-01,FIN,5
Summer,1932 Los Angeles,1932-01-01,MEX,2
Winter,1968 Grenoble,1968-01-01,TUR,0
Summer,1992 Barcelona,1992-01-01,CRO,3
Summer,2004 Athina,2004-01-01,NIG,0
Summer,1988 Seoul,1988-01-01,BEN,0
Winter,1960 Squaw Valley,1960-01-01,FIN,8
Summer,2012 London,2012-01-01,VAN,0
Summer,1992 Barcelona,1992-01-01,IOA,3
Summer,1968 Mexico City,1968-01-01,ESP,0
Summer,1988 Seoul,1988-01-01,COL,1
Summer,1968 Mexico City,1968-01-01,ITA,16
Summer,1936 Berlin,1936-01-01,BRA,0
Summer,1936 Berlin,1936-01-01,POL,9
Summer,1976 Montreal,1976-01-01,ITA,13
Winter,1988 Calgary,1988-01-01,ITA,5
Winter,1992 Albertville,1992-01-01,ITA,14
Winter,1994 Lillehammer,1994-01-01,ITA,20
Winter,1998 Nagano,1998-01-01,ITA,10
Summer,1960 Roma,1960-01-01,ESP,1
Summer,1928 Amsterdam,1928-01-01,ARG,7
Summer,1996 Atlanta,1996-01-01,SWE,8
Summer,1960 Roma,1960-01-01,HUN,21
Summer,1908 London,1908-01-01,FRA,19
Summer,1952 Helsinki,1952-01-01,AUT,2
Winter,1924 Chamonix,1924-01-01,FRA,3
Summer,1992 Barcelona,1992-01-01,CAN,18
Summer,1988 Seoul,1988-01-01,CAN,10
Summer,2008 Beijing,2008-01-01,JAM,9
Summer,2012 London,2012-01-01,JAM,12
Winter,1960 Squaw Valley,1960-01-01,ITA,1
Summer,1906 Athina,1906-01-01,ITA,16
Summer,1952 Helsinki,1952-01-01,NED,5
Winter,1994 Lillehammer,1994-01-01,DEN,0
Winter,2010 Vancouver,2010-01-01,DEN,0
Winter,1998 Nagano,1998-01-01,USA,13
Winter,2002 Salt Lake City,2002-01-01,USA,34
Summer,1960 Roma,1960-01-01,PER,0
Summer,2016 Rio de Janeiro,2016-01-01,MDA,0
Winter,2002 Salt Lake City,2002-01-01,CAN,17
Summer,1960 Roma,1960-01-01,SUI,6
Summer,1964 Tokyo,1964-01-01,SUI,4
Winter,2002 Salt Lake City,2002-01-01,AUT,17
Winter,2010 Vancouver,2010-01-01,BUL,0
Summer,1952 Helsinki,1952-01-01,SUI,14
Winter,1980 Lake Placid,1980-01-01,GDR,23
Summer,1972 Munich,1972-01-01,SWE,16
Summer,1976 Montreal,1976-01-01,SWE,5
Winter,1976 Innsbruck,1976-01-01,YUG,0
Summer,1928 Amsterdam,1928-01-01,ROU,0
Winter,1952 Oslo,1952-01-01,USA,11
Winter,1956 Cortina d'Ampezzo,1956-01-01,USA,7
Summer,1960 Roma,1960-01-01,POR,1
Summer,1952 Helsinki,1952-01-01,BAH,0
Summer,1956 Melbourne,1956-01-01,BAH,1
Summer,1960 Roma,1960-01-01,BAH,0
Summer,1968 Mexico City,1968-01-01,BAH,0
Summer,1936 Berlin,1936-01-01,PER,0
Summer,1976 Montreal,1976-01-01,URU,0
Summer,1924 Paris,1924-01-01,ITA,16
Summer,2016 Rio de Janeiro,2016-01-01,MRI,0
Winter,2006 Torino,2006-01-01,GBR,1
Summer,1968 Mexico City,1968-01-01,GUA,0
Summer,1968 Mexico City,1968-01-01,CUB,4
Summer,2012 London,2012-01-01,GUA,1
Summer,1964 Tokyo,1964-01-01,POR,0
Summer,1972 Munich,1972-01-01,POR,0
Winter,1992 Albertville,1992-01-01,ARG,0
Winter,1952 Oslo,1952-01-01,ROU,0
Winter,1956 Cortina d'Ampezzo,1956-01-01,ROU,0
Summer,1980 Moskva,1980-01-01,JAM,3
Summer,1964 Tokyo,1964-01-01,CAN,4
Summer,1972 Munich,1972-01-01,YUG,5
Summer,1976 Montreal,1976-01-01,YUG,8
Summer,1980 Moskva,1980-01-01,YUG,9
Summer,2000 Sydney,2000-01-01,ROU,26
Summer,1912 Stockholm,1912-01-01,CHI,0
Summer,2012 London,2012-01-01,PUR,2
Summer,1988 Seoul,1988-01-01,DOM,0
Summer,1996 Atlanta,1996-01-01,DOM,0
Summer,1996 Atlanta,1996-01-01,LTU,1
Summer,2008 Beijing,2008-01-01,LTU,5
Summer,2012 London,2012-01-01,BUL,2
Winter,1976 Innsbruck,1976-01-01,URS,27
Summer,2016 Rio de Janeiro,2016-01-01,BUL,3
Summer,1992 Barcelona,1992-01-01,BUL,16
Summer,1996 Atlanta,1996-01-01,KGZ,0
Summer,1952 Helsinki,1952-01-01,URS,70
Summer,2004 Athina,2004-01-01,BUL,12
Summer,2008 Beijing,2008-01-01,BUL,5
Winter,2006 Torino,2006-01-01,KAZ,0
Winter,1960 Squaw Valley,1960-01-01,URS,21
Winter,1984 Sarajevo,1984-01-01,URS,25
Summer,2012 London,2012-01-01,ARM,3
Summer,2012 London,2012-01-01,LAT,2
Winter,1998 Nagano,1998-01-01,BLR,2
Winter,1988 Calgary,1988-01-01,URS,29
Summer,1996 Atlanta,1996-01-01,ISR,1
Summer,2000 Sydney,2000-01-01,BLR,17
Summer,2012 London,2012-01-01,SRB,4
Summer,2016 Rio de Janeiro,2016-01-01,SRB,8
Winter,1988 Calgary,1988-01-01,BUL,0
Winter,1992 Albertville,1992-01-01,BUL,0
Summer,2012 London,2012-01-01,BLR,12
Summer,1928 Amsterdam,1928-01-01,ESP,1
Summer,1980 Moskva,1980-01-01,ETH,4
Summer,1964 Tokyo,1964-01-01,ETH,1
Summer,1968 Mexico City,1968-01-01,ETH,2
Summer,1968 Mexico City,1968-01-01,BRA,3
Summer,1972 Munich,1972-01-01,PUR,0
Summer,1960 Roma,1960-01-01,ITA,36
Summer,1948 London,1948-01-01,BRA,1
Winter,2014 Sochi,2014-01-01,MON,0
Summer,1932 Los Angeles,1932-01-01,GER,24
Summer,1988 Seoul,1988-01-01,GRE,1
Summer,1968 Mexico City,1968-01-01,TCH,13
Summer,1972 Munich,1972-01-01,TCH,8
Summer,1980 Moskva,1980-01-01,GRE,3
Summer,1984 Los Angeles,1984-01-01,GRE,2
Summer,2012 London,2012-01-01,IVB,0
Summer,2008 Beijing,2008-01-01,VIN,0
Summer,2016 Rio de Janeiro,2016-01-01,VIN,0
Summer,2000 Sydney,2000-01-01,TTO,2
Summer,2004 Athina,2004-01-01,TTO,1
Summer,2004 Athina,2004-01-01,CAN,12
Summer,1996 Atlanta,1996-01-01,ISL,0
Summer,2000 Sydney,2000-01-01,ISL,1
Summer,2004 Athina,2004-01-01,ISL,0
Summer,2016 Rio de Janeiro,2016-01-01,AUT,1
Winter,1972 Sapporo,1972-01-01,GRE,0
Winter,2002 Salt Lake City,2002-01-01,ARM,0
Summer,1980 Moskva,1980-01-01,ROU,25
Summer,1968 Mexico City,1968-01-01,ROU,15
Summer,1968 Mexico City,1968-01-01,GRE,1
Summer,1980 Moskva,1980-01-01,MOZ,0
Summer,2016 Rio de Janeiro,2016-01-01,NIG,1
Summer,1976 Montreal,1976-01-01,COL,0
Summer,1980 Moskva,1980-01-01,COL,0
Summer,2016 Rio de Janeiro,2016-01-01,CRC,0
Summer,1928 Amsterdam,1928-01-01,CHI,1
Summer,2012 London,2012-01-01,ESA,0
Summer,1960 Roma,1960-01-01,NED,3
Summer,1928 Amsterdam,1928-01-01,LUX,1
Summer,1992 Barcelona,1992-01-01,ISV,0
Winter,2006 Torino,2006-01-01,SWE,14
Winter,2010 Vancouver,2010-01-01,SWE,11
Winter,2014 Sochi,2014-01-01,SWE,15
Summer,1976 Montreal,1976-01-01,ISL,0
Summer,1988 Seoul,1988-01-01,BER,0
Summer,1956 Melbourne,1956-01-01,BRA,1
Summer,1960 Roma,1960-01-01,BRA,2
Winter,1994 Lillehammer,1994-01-01,SWE,3
Summer,1980 Moskva,1980-01-01,NCA,0
Summer,2008 Beijing,2008-01-01,NIG,0
Summer,2016 Rio de Janeiro,2016-01-01,SUD,0
Summer,2004 Athina,2004-01-01,CAF,0
Summer,2008 Beijing,2008-01-01,LBA,0
Summer,2012 London,2012-01-01,MAD,0
Summer,2016 Rio de Janeiro,2016-01-01,MAD,0
Summer,2008 Beijing,2008-01-01,CMR,1
Summer,2000 Sydney,2000-01-01,NIG,0
Summer,2016 Rio de Janeiro,2016-01-01,PAK,0
Summer,1980 Moskva,1980-01-01,AUS,9
Summer,1960 Roma,1960-01-01,MAL,0
Summer,1956 Melbourne,1956-01-01,MAL,0
Summer,2004 Athina,2004-01-01,MDV,0
Summer,1976 Montreal,1976-01-01,IND,0
Summer,2012 London,2012-01-01,DJI,0
Summer,1996 Atlanta,1996-01-01,DJI,0
Summer,1960 Roma,1960-01-01,IRI,4
Summer,2008 Beijing,2008-01-01,DJI,0
Summer,1972 Munich,1972-01-01,ALG,0
Summer,2016 Rio de Janeiro,2016-01-01,CHA,0
Summer,2000 Sydney,2000-01-01,DJI,0
Summer,2008 Beijing,2008-01-01,BIH,0
Summer,2016 Rio de Janeiro,2016-01-01,BIH,0
Summer,2008 Beijing,2008-01-01,GUM,0
Summer,1996 Atlanta,1996-01-01,MDA,2
Summer,1972 Munich,1972-01-01,INA,0
Winter,1980 Lake Placid,1980-01-01,URS,22
Summer,2008 Beijing,2008-01-01,CRO,5
Summer,2012 London,2012-01-01,CRO,6
Summer,1964 Tokyo,1964-01-01,PHI,1
Summer,1988 Seoul,1988-01-01,SAM,0
Summer,1992 Barcelona,1992-01-01,SAM,0
Winter,1988 Calgary,1988-01-01,USA,6
Summer,1968 Mexico City,1968-01-01,HUN,32
Summer,2012 London,2012-01-01,PHI,0
Summer,2016 Rio de Janeiro,2016-01-01,PHI,1
Winter,1992 Albertville,1992-01-01,EUN,23
Summer,1976 Montreal,1976-01-01,PAK,1
Winter,1936 Garmisch-Partenkirchen,1936-01-01,FRA,1
Winter,1992 Albertville,1992-01-01,FRA,9
Summer,2016 Rio de Janeiro,2016-01-01,CAY,0
Winter,2006 Torino,2006-01-01,AUS,2
Winter,1998 Nagano,1998-01-01,GBR,1
Summer,2000 Sydney,2000-01-01,SVK,5
Summer,1952 Helsinki,1952-01-01,BEL,4
Summer,1984 Los Angeles,1984-01-01,NIG,0
Summer,1952 Helsinki,1952-01-01,GBR,11
Summer,1956 Melbourne,1956-01-01,GBR,21
Summer,1936 Berlin,1936-01-01,FRA,19
Summer,2004 Athina,2004-01-01,SUI,5
Summer,2016 Rio de Janeiro,2016-01-01,SYR,0
Summer,2000 Sydney,2000-01-01,GUY,0
Winter,1984 Sarajevo,1984-01-01,AUS,0
Summer,1960 Roma,1960-01-01,USA,71
Summer,1968 Mexico City,1968-01-01,USA,107
Summer,2004 Athina,2004-01-01,AUT,7
Winter,1992 Albertville,1992-01-01,CAN,7
Summer,1956 Melbourne,1956-01-01,USA,74
Summer,1960 Roma,1960-01-01,AUS,22
Summer,1964 Tokyo,1964-01-01,USA,90
Summer,2016 Rio de Janeiro,2016-01-01,JAM,11
Summer,2000 Sydney,2000-01-01,JAM,9
Summer,2004 Athina,2004-01-01,JAM,5
Summer,1932 Los Angeles,1932-01-01,IND,1
Summer,1936 Berlin,1936-01-01,IND,1
Winter,1972 Sapporo,1972-01-01,CAN,1
Summer,1996 Atlanta,1996-01-01,IRL,4
Winter,1968 Grenoble,1968-01-01,USA,5
Winter,1948 Sankt Moritz,1948-01-01,SUI,9
Summer,1912 Stockholm,1912-01-01,DEN,12
Winter,1976 Innsbruck,1976-01-01,CAN,3
Summer,2000 Sydney,2000-01-01,BAR,1
Summer,2004 Athina,2004-01-01,BAR,0
Summer,1992 Barcelona,1992-01-01,BAR,0
Summer,1996 Atlanta,1996-01-01,TTO,2
Summer,1980 Moskva,1980-01-01,TAN,2
Summer,2016 Rio de Janeiro,2016-01-01,EST,1
Summer,1924 Paris,1924-01-01,USA,99
Summer,2012 London,2012-01-01,SEY,0
Summer,2016 Rio de Janeiro,2016-01-01,SEY,0
Summer,1920 Antwerpen,1920-01-01,ITA,25
Summer,1964 Tokyo,1964-01-01,BEL,3
Summer,2004 Athina,2004-01-01,CIV,0
Summer,1992 Barcelona,1992-01-01,GUM,0
Summer,1972 Munich,1972-01-01,JAM,1
Summer,1976 Montreal,1976-01-01,JAM,2
Summer,2008 Beijing,2008-01-01,BAR,0
Summer,2012 London,2012-01-01,BAR,0
Summer,2012 London,2012-01-01,ECU,0
Summer,2016 Rio de Janeiro,2016-01-01,ECU,0
Summer,1952 Helsinki,1952-01-01,MEX,1
Summer,1964 Tokyo,1964-01-01,URU,1
Summer,1976 Montreal,1976-01-01,PHI,0
Summer,1992 Barcelona,1992-01-01,PHI,1
Summer,1980 Moskva,1980-01-01,HUN,32
Winter,1994 Lillehammer,1994-01-01,ARM,0
Winter,1964 Innsbruck,1964-01-01,HUN,0
Winter,1968 Grenoble,1968-01-01,HUN,0
Winter,1972 Sapporo,1972-01-01,HUN,0
Winter,1988 Calgary,1988-01-01,FRA,2
Summer,1996 Atlanta,1996-01-01,GBS,0
Summer,2004 Athina,2004-01-01,ANG,0
Summer,2004 Athina,2004-01-01,POR,3
Summer,2012 London,2012-01-01,ANG,0
Summer,1988 Seoul,1988-01-01,NOR,5
Summer,1904 St. Louis,1904-01-01,CAN,6
Summer,2008 Beijing,2008-01-01,CHI,1
Winter,2010 Vancouver,2010-01-01,AUS,3
Winter,2014 Sochi,2014-01-01,AUS,3
Summer,1972 Munich,1972-01-01,ISR,0
Winter,1952 Oslo,1952-01-01,FIN,9
Winter,1948 Sankt Moritz,1948-01-01,FIN,6
Winter,1956 Cortina d'Ampezzo,1956-01-01,FIN,7
Summer,1924 Paris,1924-01-01,CUB,0
Summer,1924 Paris,1924-01-01,ESP,0
Summer,1984 Los Angeles,1984-01-01,GUA,0
Winter,2014 Sochi,2014-01-01,RUS,33
Summer,1984 Los Angeles,1984-01-01,TUN,0
Summer,2012 London,2012-01-01,NOR,4
Winter,1956 Cortina d'Ampezzo,1956-01-01,SUI,6
Winter,1992 Albertville,1992-01-01,MGL,0
Summer,1968 Mexico City,1968-01-01,SUI,5
Winter,1980 Lake Placid,1980-01-01,AUS,0
Winter,2014 Sochi,2014-01-01,GER,19
Winter,2014 Sochi,2014-01-01,AUT,17
Summer,1936 Berlin,1936-01-01,AUT,17
Winter,1952 Oslo,1952-01-01,GBR,1
Summer,1948 London,1948-01-01,YUG,2
Summer,1996 Atlanta,1996-01-01,ROU,19
Summer,1972 Munich,1972-01-01,ESP,1
Winter,1994 Lillehammer,1994-01-01,EST,0
Summer,1976 Montreal,1976-01-01,CRC,0
Summer,1992 Barcelona,1992-01-01,PAR,0
Summer,2000 Sydney,2000-01-01,VEN,0
Summer,2004 Athina,2004-01-01,VEN,2
Summer,1976 Montreal,1976-01-01,PUR,1
Summer,2000 Sydney,2000-01-01,CHI,1
Summer,2008 Beijing,2008-01-01,HON,0
Summer,2008 Beijing,2008-01-01,COL,2
Summer,1992 Barcelona,1992-01-01,CRC,0
Summer,1972 Munich,1972-01-01,ISV,0
Summer,1980 Moskva,1980-01-01,MEX,4
Winter,1988 Calgary,1988-01-01,MEX,0
Winter,1992 Albertville,1992-01-01,MEX,0
Winter,1952 Oslo,1952-01-01,ITA,2
Winter,2006 Torino,2006-01-01,ITA,11
Winter,1976 Innsbruck,1976-01-01,ITA,4
Summer,1928 Amsterdam,1928-01-01,POR,1
Summer,1952 Helsinki,1952-01-01,POR,1
Summer,1984 Los Angeles,1984-01-01,PER,1
Summer,1988 Seoul,1988-01-01,PER,1
Summer,1992 Barcelona,1992-01-01,PER,1
Summer,1988 Seoul,1988-01-01,MAS,0
Summer,1964 Tokyo,1964-01-01,NED,10
Summer,1920 Antwerpen,1920-01-01,LUX,1
Summer,1924 Paris,1924-01-01,LUX,2
Winter,2006 Torino,2006-01-01,FRA,9
Winter,1992 Albertville,1992-01-01,PUR,0
Winter,1994 Lillehammer,1994-01-01,PUR,0
Winter,1998 Nagano,1998-01-01,PUR,0
Summer,1992 Barcelona,1992-01-01,CAF,0
Summer,2016 Rio de Janeiro,2016-01-01,PAN,0
Summer,1972 Munich,1972-01-01,ESA,0
Summer,2012 London,2012-01-01,CRC,0
Summer,1984 Los Angeles,1984-01-01,THA,1
Summer,1972 Munich,1972-01-01,MAS,0
Summer,2008 Beijing,2008-01-01,UZB,6
Winter,1956 Cortina d'Ampezzo,1956-01-01,GER,2
Winter,1998 Nagano,1998-01-01,JPN,10
Summer,1992 Barcelona,1992-01-01,SLE,0
Summer,1996 Atlanta,1996-01-01,SLE,0
Summer,2000 Sydney,2000-01-01,IOA,0
Summer,2004 Athina,2004-01-01,TLS,0
Summer,1960 Roma,1960-01-01,VEN,1
Summer,1932 Los Angeles,1932-01-01,ESP,1
Summer,1956 Melbourne,1956-01-01,ITA,22
Summer,1952 Helsinki,1952-01-01,VEN,1
Summer,1996 Atlanta,1996-01-01,COD,0
Summer,1928 Amsterdam,1928-01-01,GRE,0
Summer,1992 Barcelona,1992-01-01,BAN,0
Summer,2016 Rio de Janeiro,2016-01-01,GAB,0
Summer,1984 Los Angeles,1984-01-01,CAF,0
Summer,1988 Seoul,1988-01-01,CAF,0
Summer,1980 Moskva,1980-01-01,GDR,126
Summer,2012 London,2012-01-01,AUT,0
Winter,1960 Squaw Valley,1960-01-01,GER,8
Winter,1964 Innsbruck,1964-01-01,GER,9
Summer,2000 Sydney,2000-01-01,AUT,3
Summer,1968 Mexico City,1968-01-01,POL,18
Summer,1988 Seoul,1988-01-01,YUG,12
Summer,1976 Montreal,1976-01-01,HUN,22
Winter,2010 Vancouver,2010-01-01,SUI,9
Winter,1980 Lake Placid,1980-01-01,SUI,5
Winter,1984 Sarajevo,1984-01-01,SUI,5
Summer,2004 Athina,2004-01-01,NAM,0
Summer,1948 London,1948-01-01,AUT,8
Summer,2000 Sydney,2000-01-01,INA,6
Summer,1920 Antwerpen,1920-01-01,BRA,3
Summer,1932 Los Angeles,1932-01-01,BRA,0
Summer,1992 Barcelona,1992-01-01,SRI,0
Summer,2000 Sydney,2000-01-01,BAH,3
Summer,2004 Athina,2004-01-01,BAH,2
Summer,2008 Beijing,2008-01-01,BAH,2
Summer,2012 London,2012-01-01,BAH,1
Summer,2016 Rio de Janeiro,2016-01-01,BAH,2
Summer,1984 Los Angeles,1984-01-01,VEN,3
Summer,1992 Barcelona,1992-01-01,SMR,0
Summer,1996 Atlanta,1996-01-01,SMR,0
Summer,2000 Sydney,2000-01-01,SMR,0
Summer,2004 Athina,2004-01-01,SMR,0
Summer,1952 Helsinki,1952-01-01,ISR,0
Summer,1960 Roma,1960-01-01,LIB,0
Summer,1984 Los Angeles,1984-01-01,ISR,0
Summer,1988 Seoul,1988-01-01,ISR,0
Summer,1992 Barcelona,1992-01-01,ISR,2
Summer,1992 Barcelona,1992-01-01,MDV,0
Summer,1996 Atlanta,1996-01-01,MDV,0
Summer,2016 Rio de Janeiro,2016-01-01,ISR,2
Summer,2008 Beijing,2008-01-01,MAS,1
Winter,1956 Cortina d'Ampezzo,1956-01-01,IRI,0
Summer,1988 Seoul,1988-01-01,COD,0
Summer,1992 Barcelona,1992-01-01,COD,0
Summer,2016 Rio de Janeiro,2016-01-01,THA,6
Summer,1956 Stockholm,1956-01-01,DEN,1
Summer,1996 Atlanta,1996-01-01,LAO,0
Summer,1984 Los Angeles,1984-01-01,TAN,0
Winter,2010 Vancouver,2010-01-01,FRA,11
Summer,2008 Beijing,2008-01-01,GHA,0
Summer,1968 Mexico City,1968-01-01,GUY,0
Summer,1972 Munich,1972-01-01,BER,0
Summer,2012 London,2012-01-01,BOT,1
Summer,2016 Rio de Janeiro,2016-01-01,BOT,0
Summer,2016 Rio de Janeiro,2016-01-01,ROT,0
Summer,1976 Montreal,1976-01-01,DOM,0
Summer,1992 Barcelona,1992-01-01,AUT,2
Summer,1968 Mexico City,1968-01-01,GDR,25
Summer,2012 London,2012-01-01,GHA,0
Summer,1972 Munich,1972-01-01,KEN,9
Summer,1964 Tokyo,1964-01-01,UGA,0
Summer,1908 London,1908-01-01,NOR,8
Summer,1976 Montreal,1976-01-01,NOR,2
Summer,1972 Munich,1972-01-01,BUL,21
Summer,2016 Rio de Janeiro,2016-01-01,KOR,21
Summer,1984 Los Angeles,1984-01-01,KOR,19
Summer,1988 Seoul,1988-01-01,KOR,33
Summer,1964 Tokyo,1964-01-01,KOR,3
Summer,1948 London,1948-01-01,KOR,2
Summer,1956 Melbourne,1956-01-01,KOR,2
Summer,1968 Mexico City,1968-01-01,KOR,2
Summer,1972 Munich,1972-01-01,KOR,1
Summer,1964 Tokyo,1964-01-01,CAM,0
Summer,1976 Montreal,1976-01-01,PRK,2
Summer,1992 Barcelona,1992-01-01,KOR,28
Summer,1976 Montreal,1976-01-01,KOR,6
Summer,1996 Atlanta,1996-01-01,KOR,27
Summer,1960 Roma,1960-01-01,KOR,0
Summer,2008 Beijing,2008-01-01,KOR,31
Winter,2010 Vancouver,2010-01-01,KOR,14
Summer,2008 Beijing,2008-01-01,PRK,6
Summer,2012 London,2012-01-01,PRK,6
Summer,1992 Barcelona,1992-01-01,PRK,9
Winter,1964 Innsbruck,1964-01-01,PRK,1
Summer,2004 Athina,2004-01-01,KOR,30
Winter,2002 Salt Lake City,2002-01-01,KOR,4
Winter,2006 Torino,2006-01-01,KOR,11
Winter,2006 Torino,2006-01-01,CHN,11
Winter,1998 Nagano,1998-01-01,CHN,8
Winter,2002 Salt Lake City,2002-01-01,CHN,8
Summer,1996 Atlanta,1996-01-01,CHN,50
Summer,2000 Sydney,2000-01-01,MOZ,1
Summer,1924 Paris,1924-01-01,GRE,1
Summer,2004 Athina,2004-01-01,BRU,0
Summer,1996 Atlanta,1996-01-01,SOL,0
Winter,2002 Salt Lake City,2002-01-01,BLR,1
Winter,2006 Torino,2006-01-01,BLR,1
Summer,1956 Melbourne,1956-01-01,ROU,13
Summer,1960 Roma,1960-01-01,ROU,10
Winter,1988 Calgary,1988-01-01,GRE,0
Winter,1992 Albertville,1992-01-01,GRE,0
Winter,1994 Lillehammer,1994-01-01,GRE,0
Winter,1998 Nagano,1998-01-01,GRE,0
Summer,1984 Los Angeles,1984-01-01,YUG,18
Summer,1968 Mexico City,1968-01-01,ECU,0
Summer,2004 Athina,2004-01-01,CRO,5
Winter,1960 Squaw Valley,1960-01-01,ARG,0
Winter,1968 Grenoble,1968-01-01,AUT,11
Winter,1972 Sapporo,1972-01-01,AUT,5
Summer,1900 Paris,1900-01-01,AUT,6
Summer,1906 Athina,1906-01-01,DEN,6
Winter,1928 Sankt Moritz,1928-01-01,NOR,15
Summer,1932 Los Angeles,1932-01-01,DEN,8
Summer,1936 Berlin,1936-01-01,DEN,5
Summer,1992 Barcelona,1992-01-01,DEN,6
