"","Event","Sport","Season","Year_City","Year"
"3666","Swimming Men's 1,500 metres Freestyle","Swimming","Summer","1936 Berlin",1936
"3667","Rowing Men's Double Sculls","Rowing","Summer","1948 London",1948
"3668","Shooting Men's Running Target, 10 metres","Shooting","Summer","2000 Sydney",2000
"3669","Tennis Women's Doubles","Tennis","Summer","2004 Athina",2004
"3670","Tennis Women's Doubles","Tennis","Summer","2008 Beijing",2008
"3671","Taekwondo Women's Welterweight","Taekwondo","Summer","2012 London",2012
"3672","Cross Country Skiing Men's 4 x 10 kilometres Relay","Cross Country Skiing","Winter","1956 Cortina d'Ampezzo",1956
"3673","Cross Country Skiing Men's 50 kilometres","Cross Country Skiing","Winter","1960 Squaw Valley",1960
"3674","Water Polo Men's Water Polo","Water Polo","Summer","1900 Paris",1900
"3675","Swimming Men's 100 metres Butterfly","Swimming","Summer","2016 Rio de Janeiro",2016
"3676","Canoeing Men's Kayak Singles, 500 metres","Canoeing","Summer","1992 Barcelona",1992
"3677","Canoeing Men's Kayak Singles, 1,000 metres","Canoeing","Summer","1992 Barcelona",1992
"3678","Athletics Men's 400 metres Hurdles","Athletics","Summer","1964 Tokyo",1964
"3679","Triathlon Women's Olympic Distance","Triathlon","Summer","2000 Sydney",2000
"3680","Athletics Women's 100 metres Hurdles","Athletics","Summer","1976 Montreal",1976
"3681","Athletics Women's 100 metres Hurdles","Athletics","Summer","1980 Moskva",1980
"3682","Figure Skating Mixed Ice Dancing","Figure Skating","Winter","1998 Nagano",1998
"3683","Figure Skating Mixed Ice Dancing","Figure Skating","Winter","2002 Salt Lake City",2002
"3684","Rowing Women's Coxed Fours","Rowing","Summer","1988 Seoul",1988
"3685","Sailing Mixed Two Person Keelboat","Sailing","Summer","1984 Los Angeles",1984
"3686","Sailing Mixed Two Person Keelboat","Sailing","Summer","1988 Seoul",1988
"3687","Equestrianism Men's Dressage, Individual","Equestrianism","Summer","1924 Paris",1924
"3688","Equestrianism Men's Three-Day Event, Individual","Equestrianism","Summer","1928 Amsterdam",1928
"3689","Equestrianism Men's Three-Day Event, Team","Equestrianism","Summer","1928 Amsterdam",1928
"3690","Swimming Women's 200 metres Breaststroke","Swimming","Summer","1972 Munich",1972
"3691","Swimming Women's 100 metres Breaststroke","Swimming","Summer","1976 Montreal",1976
"3692","Swimming Women's 200 metres Breaststroke","Swimming","Summer","1976 Montreal",1976
"3693","Alpine Skiing Women's Slalom","Alpine Skiing","Winter","1964 Innsbruck",1964
"3694","Alpine Skiing Women's Downhill","Alpine Skiing","Winter","1968 Grenoble",1968
"3695","Sailing Mixed 8 metres","Sailing","Summer","1908 London",1908
"3696","Athletics Men's Pole Vault","Athletics","Summer","1964 Tokyo",1964
"3697","Boxing Men's Welterweight","Boxing","Summer","1972 Munich",1972
"3698","Cycling Women's Team Pursuit","Cycling","Summer","2016 Rio de Janeiro",2016
"3699","Hockey Women's Hockey","Hockey","Summer","1992 Barcelona",1992
"3700","Boxing Men's Welterweight","Boxing","Summer","1928 Amsterdam",1928
"3701","Bobsleigh Men's Two","Bobsleigh","Winter","2006 Torino",2006
"3702","Figure Skating Mixed Ice Dancing","Figure Skating","Winter","1988 Calgary",1988
"3703","Athletics Men's High Jump","Athletics","Summer","1984 Los Angeles",1984
"3704","Swimming Men's 100 metres Freestyle","Swimming","Summer","1896 Athina",1896
"3705","Swimming Men's 400 metres Freestyle","Swimming","Summer","1920 Antwerpen",1920
"3706","Swimming Men's 1,500 metres Freestyle","Swimming","Summer","1920 Antwerpen",1920
"3707","Swimming Men's 400 metres Freestyle","Swimming","Summer","1924 Paris",1924
"3708","Swimming Men's 1,500 metres Freestyle","Swimming","Summer","1924 Paris",1924
"3709","Swimming Men's 4 x 200 metres Freestyle Relay","Swimming","Summer","1924 Paris",1924
"3710","Athletics Women's High Jump","Athletics","Summer","1980 Moskva",1980
"3711","Athletics Men's 100 metres","Athletics","Summer","1932 Los Angeles",1932
"3712","Athletics Men's 4 x 100 metres Relay","Athletics","Summer","1932 Los Angeles",1932
"3713","Judo Women's Heavyweight","Judo","Summer","1996 Atlanta",1996
"3714","Judo Women's Half-Heavyweight","Judo","Summer","2000 Sydney",2000
"3715","Rowing Men's Double Sculls","Rowing","Summer","1920 Antwerpen",1920
"3716","Athletics Women's Long Jump","Athletics","Summer","1964 Tokyo",1964
"3717","Art Competitions Mixed Painting, Paintings","Art Competitions","Summer","1936 Berlin",1936
"3718","Fencing Men's epee, Team","Fencing","Summer","2016 Rio de Janeiro",2016
"3719","Diving Women's Springboard","Diving","Summer","1964 Tokyo",1964
"3720","Diving Women's Springboard","Diving","Summer","1968 Mexico City",1968
"3721","Canoeing Men's Kayak Singles, 1,000 metres","Canoeing","Summer","2016 Rio de Janeiro",2016
"3722","Canoeing Men's Kayak Fours, 1,000 metres","Canoeing","Summer","2016 Rio de Janeiro",2016
"3723","Canoeing Men's Kayak Doubles, 500 metres","Canoeing","Summer","1996 Atlanta",1996
"3724","Wrestling Men's Featherweight, Freestyle","Wrestling","Summer","2016 Rio de Janeiro",2016
"3725","Speed Skating Women's 3,000 metres","Speed Skating","Winter","2002 Salt Lake City",2002
"3726","Speed Skating Women's 5,000 metres","Speed Skating","Winter","2002 Salt Lake City",2002
"3727","Speed Skating Women's 3,000 metres","Speed Skating","Winter","2006 Torino",2006
"3728","Speed Skating Women's 5,000 metres","Speed Skating","Winter","2006 Torino",2006
"3729","Speed Skating Women's 3,000 metres","Speed Skating","Winter","2010 Vancouver",2010
"3730","Speed Skating Women's 5,000 metres","Speed Skating","Winter","2010 Vancouver",2010
"3731","Speed Skating Women's Team Pursuit (6 laps)","Speed Skating","Winter","2010 Vancouver",2010
"3732","Fencing Women's Foil, Individual","Fencing","Summer","1968 Mexico City",1968
"3733","Athletics Men's 3,000 metres Walk","Athletics","Summer","1920 Antwerpen",1920
"3734","Athletics Men's 10 kilometres Walk","Athletics","Summer","1920 Antwerpen",1920
"3735","Fencing Men's Sabre, Team","Fencing","Summer","1932 Los Angeles",1932
"3736","Shooting Men's Rapid-Fire Pistol, 25 metres","Shooting","Summer","1996 Atlanta",1996
"3737","Bobsleigh Men's Four/Five","Bobsleigh","Winter","1928 Sankt Moritz",1928
"3738","Skeleton Men's Skeleton","Skeleton","Winter","2006 Torino",2006
"3739","Athletics Men's 800 metres","Athletics","Summer","1912 Stockholm",1912
"3740","Athletics Women's Javelin Throw","Athletics","Summer","1964 Tokyo",1964
"3741","Athletics Women's Javelin Throw","Athletics","Summer","1968 Mexico City",1968
"3742","Weightlifting Men's Light-Heavyweight","Weightlifting","Summer","1976 Montreal",1976
"3743","Shooting Men's Free Rifle, Three Positions, 300 metres","Shooting","Summer","1896 Athina",1896
"3744","Art Competitions Mixed Sculpturing, Unknown Event","Art Competitions","Summer","1932 Los Angeles",1932
"3745","Athletics Women's 4 x 100 metres Relay","Athletics","Summer","1952 Helsinki",1952
"3746","Snowboarding Women's Boardercross","Snowboarding","Winter","2006 Torino",2006
"3747","Snowboarding Women's Boardercross","Snowboarding","Winter","2010 Vancouver",2010
"3748","Snowboarding Women's Boardercross","Snowboarding","Winter","2014 Sochi",2014
"3749","Weightlifting Men's Middleweight","Weightlifting","Summer","2008 Beijing",2008
"3750","Rowing Men's Coxed Pairs","Rowing","Summer","1928 Amsterdam",1928
"3751","Shooting Mixed Running Target, 50 metres","Shooting","Summer","1972 Munich",1972
"3752","Shooting Mixed Running Target, 50 metres","Shooting","Summer","1976 Montreal",1976
"3753","Judo Men's Half-Middleweight","Judo","Summer","2008 Beijing",2008
"3754","Judo Men's Middleweight","Judo","Summer","2012 London",2012
"3755","Synchronized Swimming Women's Duet","Synchronized Swimming","Summer","1984 Los Angeles",1984
"3756","Athletics Women's Discus Throw","Athletics","Summer","2012 London",2012
"3757","Athletics Men's Shot Put","Athletics","Summer","1920 Antwerpen",1920
"3758","Equestrianism Men's Jumping, Individual","Equestrianism","Summer","1952 Helsinki",1952
"3759","Equestrianism Men's Jumping, Team","Equestrianism","Summer","1952 Helsinki",1952
"3760","Skeleton Men's Skeleton","Skeleton","Winter","2014 Sochi",2014
"3761","Shooting Women's Air Rifle, 10 metres","Shooting","Summer","1996 Atlanta",1996
"3762","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres","Shooting","Summer","1996 Atlanta",1996
"3763","Canoeing Men's Canadian Doubles, Slalom","Canoeing","Summer","2016 Rio de Janeiro",2016
"3764","Water Polo Women's Water Polo","Water Polo","Summer","2008 Beijing",2008
"3765","Shooting Men's Free Rifle, Three Positions, 300 metres","Shooting","Summer","1956 Melbourne",1956
"3766","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres","Shooting","Summer","1956 Melbourne",1956
"3767","Shooting Men's Small-Bore Rifle, Prone, 50 metres","Shooting","Summer","1956 Melbourne",1956
"3768","Fencing Men's epee, Individual","Fencing","Summer","1920 Antwerpen",1920
"3769","Gymnastics Men's Individual All-Around","Gymnastics","Summer","1928 Amsterdam",1928
"3770","Gymnastics Men's Team All-Around","Gymnastics","Summer","1928 Amsterdam",1928
"3771","Gymnastics Men's Horse Vault","Gymnastics","Summer","1928 Amsterdam",1928
"3772","Gymnastics Men's Parallel Bars","Gymnastics","Summer","1928 Amsterdam",1928
"3773","Gymnastics Men's Horizontal Bar","Gymnastics","Summer","1928 Amsterdam",1928
"3774","Gymnastics Men's Rings","Gymnastics","Summer","1928 Amsterdam",1928
"3775","Gymnastics Men's Pommelled Horse","Gymnastics","Summer","1928 Amsterdam",1928
"3776","Luge Mixed (Men)'s Doubles","Luge","Winter","2014 Sochi",2014
"3777","Luge Mixed Team Relay","Luge","Winter","2014 Sochi",2014
"3778","Athletics Women's Discus Throw","Athletics","Summer","2000 Sydney",2000
"3779","Canoeing Women's Kayak Doubles, 500 metres","Canoeing","Summer","1964 Tokyo",1964
"3780","Canoeing Women's Kayak Doubles, 500 metres","Canoeing","Summer","1968 Mexico City",1968
"3781","Canoeing Women's Kayak Doubles, 500 metres","Canoeing","Summer","1972 Munich",1972
"3782","Wrestling Men's Heavyweight, Freestyle","Wrestling","Summer","1948 London",1948
"3783","Wrestling Men's Heavyweight, Freestyle","Wrestling","Summer","1952 Helsinki",1952
"3784","Wrestling Men's Heavyweight, Greco-Roman","Wrestling","Summer","1956 Melbourne",1956
"3785","Wrestling Men's Middleweight, Freestyle","Wrestling","Summer","1960 Roma",1960
"3786","Badminton Men's Doubles","Badminton","Summer","1992 Barcelona",1992
"3787","Cross Country Skiing Women's 15 kilometres","Cross Country Skiing","Winter","1998 Nagano",1998
"3788","Gymnastics Men's Individual All-Around","Gymnastics","Summer","1908 London",1908
"3789","Swimming Men's 400 metres Freestyle","Swimming","Summer","1928 Amsterdam",1928
"3790","Swimming Men's 1,500 metres Freestyle","Swimming","Summer","1928 Amsterdam",1928
"3791","Cycling Women's Individual Time Trial","Cycling","Summer","2012 London",2012
"3792","Rowing Women's Double Sculls","Rowing","Summer","2008 Beijing",2008
"3793","Rowing Women's Double Sculls","Rowing","Summer","2012 London",2012
"3794","Badminton Men's Singles","Badminton","Summer","1992 Barcelona",1992
"3795","Badminton Men's Doubles","Badminton","Summer","1996 Atlanta",1996
"3796","Athletics Men's 1,500 metres","Athletics","Summer","1924 Paris",1924
"3797","Speed Skating Men's 10,000 metres","Speed Skating","Winter","1964 Innsbruck",1964
"3798","Speed Skating Men's 1,500 metres","Speed Skating","Winter","1968 Grenoble",1968
"3799","Cross Country Skiing Women's 10 kilometres","Cross Country Skiing","Winter","2010 Vancouver",2010
"3800","Cross Country Skiing Women's 15 km Skiathlon","Cross Country Skiing","Winter","2010 Vancouver",2010
"3801","Cross Country Skiing Women's 4 x 5 kilometres Relay","Cross Country Skiing","Winter","2010 Vancouver",2010
"3802","Cross Country Skiing Women's Team Sprint","Cross Country Skiing","Winter","2010 Vancouver",2010
"3803","Cross Country Skiing Women's 4 x 5 kilometres Relay","Cross Country Skiing","Winter","2014 Sochi",2014
"3804","Wrestling Men's Lightweight, Freestyle","Wrestling","Summer","1920 Antwerpen",1920
"3805","Wrestling Men's Featherweight, Greco-Roman","Wrestling","Summer","1924 Paris",1924
"3806","Athletics Women's 400 metres Hurdles","Athletics","Summer","2012 London",2012
"3807","Speed Skating Men's 5,000 metres","Speed Skating","Winter","1994 Lillehammer",1994
"3808","Speed Skating Men's 10,000 metres","Speed Skating","Winter","1994 Lillehammer",1994
"3809","Wrestling Men's Heavyweight, Freestyle","Wrestling","Summer","1968 Mexico City",1968
"3810","Wrestling Men's Heavyweight, Freestyle","Wrestling","Summer","1972 Munich",1972
"3811","Taekwondo Women's Flyweight","Taekwondo","Summer","2004 Athina",2004
"3812","Rowing Men's Coxed Pairs","Rowing","Summer","1952 Helsinki",1952
"3813","Fencing Men's Foil, Individual","Fencing","Summer","2004 Athina",2004
"3814","Fencing Men's Foil, Team","Fencing","Summer","2004 Athina",2004
"3815","Athletics Men's Decathlon","Athletics","Summer","1968 Mexico City",1968
"3816","Boxing Men's Super-Heavyweight","Boxing","Summer","1992 Barcelona",1992
"3817","Canoeing Women's Kayak Doubles, 500 metres","Canoeing","Summer","2016 Rio de Janeiro",2016
"3818","Alpine Skiing Men's Downhill","Alpine Skiing","Winter","1972 Sapporo",1972
"3819","Ski Jumping Men's Normal Hill, Individual","Ski Jumping","Winter","1972 Sapporo",1972
"3820","Fencing Women's Sabre, Individual","Fencing","Summer","2016 Rio de Janeiro",2016
"3821","Cross Country Skiing Women's 5 kilometres","Cross Country Skiing","Winter","1994 Lillehammer",1994
"3822","Cross Country Skiing Women's 5/10 kilometres Pursuit","Cross Country Skiing","Winter","1994 Lillehammer",1994
"3823","Speed Skating Men's 500 metres","Speed Skating","Winter","1952 Oslo",1952
"3824","Swimming Women's 200 metres Butterfly","Swimming","Summer","1972 Munich",1972
"3825","Wrestling Men's Middleweight, Greco-Roman","Wrestling","Summer","1960 Roma",1960
"3826","Snowboarding Men's Halfpipe","Snowboarding","Winter","2010 Vancouver",2010
"3827","Snowboarding Men's Halfpipe","Snowboarding","Winter","2014 Sochi",2014
"3828","Basketball Women's Basketball","Basketball","Summer","1976 Montreal",1976
"3829","Athletics Women's 1,500 metres","Athletics","Summer","1988 Seoul",1988
"3830","Athletics Women's 3,000 metres","Athletics","Summer","1988 Seoul",1988
"3831","Boxing Men's Light-Heavyweight","Boxing","Summer","1992 Barcelona",1992
"3832","Volleyball Men's Volleyball","Volleyball","Summer","1996 Atlanta",1996
"3833","Speed Skating Men's 5,000 metres","Speed Skating","Winter","1988 Calgary",1988
"3834","Speed Skating Men's 10,000 metres","Speed Skating","Winter","1988 Calgary",1988
"3835","Athletics Men's Decathlon","Athletics","Summer","1988 Seoul",1988
"3836","Athletics Men's 400 metres Hurdles","Athletics","Summer","1956 Melbourne",1956
"3837","Fencing Men's Sabre, Individual","Fencing","Summer","1906 Athina",1906
"3838","Fencing Men's Sabre, Individual, Three Hits","Fencing","Summer","1906 Athina",1906
"3839","Fencing Men's Sabre, Team","Fencing","Summer","1906 Athina",1906
"3840","Nordic Combined Men's Team","Nordic Combined","Winter","1992 Albertville",1992
"3841","Canoeing Women's Kayak Singles, 500 metres","Canoeing","Summer","1948 London",1948
"3842","Boxing Men's Flyweight","Boxing","Summer","1928 Amsterdam",1928
"3843","Athletics Men's Javelin Throw","Athletics","Summer","1948 London",1948
"3844","Athletics Women's Discus Throw","Athletics","Summer","1988 Seoul",1988
"3845","Rowing Men's Double Sculls","Rowing","Summer","1968 Mexico City",1968
"3846","Equestrianism Men's Jumping, Individual","Equestrianism","Summer","1936 Berlin",1936
"3847","Equestrianism Men's Jumping, Team","Equestrianism","Summer","1936 Berlin",1936
"3848","Luge Mixed (Men)'s Doubles","Luge","Winter","1980 Lake Placid",1980
"3849","Luge Men's Singles","Luge","Winter","1984 Sarajevo",1984
"3850","Luge Mixed (Men)'s Doubles","Luge","Winter","1984 Sarajevo",1984
"3851","Luge Men's Singles","Luge","Winter","1992 Albertville",1992
"3852","Luge Mixed (Men)'s Doubles","Luge","Winter","1992 Albertville",1992
"3853","Luge Mixed (Men)'s Doubles","Luge","Winter","1994 Lillehammer",1994
"3854","Canoeing Men's Kayak Singles, 500 metres","Canoeing","Summer","2000 Sydney",2000
"3855","Canoeing Men's Kayak Singles, 1,000 metres","Canoeing","Summer","2000 Sydney",2000
"3856","Fencing Men's Sabre, Individual","Fencing","Summer","1976 Montreal",1976
"3857","Cycling Men's Sprint","Cycling","Summer","1906 Athina",1906
"3858","Wrestling Men's Lightweight, Greco-Roman","Wrestling","Summer","1972 Munich",1972
"3859","Fencing Women's Foil, Individual","Fencing","Summer","1960 Roma",1960
"3860","Rowing Women's Coxed Eights","Rowing","Summer","1996 Atlanta",1996
"3861","Tennis Women's Singles","Tennis","Summer","1992 Barcelona",1992
"3862","Tennis Women's Singles","Tennis","Summer","1996 Atlanta",1996
"3863","Tennis Women's Doubles","Tennis","Summer","1996 Atlanta",1996
"3864","Tennis Women's Singles","Tennis","Summer","2000 Sydney",2000
"3865","Diving Men's Springboard","Diving","Summer","1912 Stockholm",1912
"3866","Wrestling Men's Light-Heavyweight, Greco-Roman","Wrestling","Summer","1928 Amsterdam",1928
"3867","Speed Skating Women's 1,000 metres","Speed Skating","Winter","1976 Innsbruck",1976
"3868","Speed Skating Women's 1,500 metres","Speed Skating","Winter","1976 Innsbruck",1976
"3869","Speed Skating Women's 3,000 metres","Speed Skating","Winter","1976 Innsbruck",1976
"3870","Athletics Men's 4 x 100 metres Relay","Athletics","Summer","1912 Stockholm",1912
"3871","Wrestling Men's Welterweight, Freestyle","Wrestling","Summer","1928 Amsterdam",1928
"3872","Archery Women's Double National Round","Archery","Summer","1908 London",1908
"3873","Judo Men's Half-Heavyweight","Judo","Summer","2016 Rio de Janeiro",2016
"3874","Athletics Men's 3,000 metres Steeplechase","Athletics","Summer","1952 Helsinki",1952
"3875","Cycling Men's Team Pursuit, 4,000 metres","Cycling","Summer","1924 Paris",1924
"3876","Swimming Women's 100 metres Butterfly","Swimming","Summer","1968 Mexico City",1968
"3877","Swimming Women's 200 metres Individual Medley","Swimming","Summer","1968 Mexico City",1968
"3878","Swimming Women's 4 x 100 metres Medley Relay","Swimming","Summer","1968 Mexico City",1968
"3879","Sailing Mixed One Person Dinghy","Sailing","Summer","2004 Athina",2004
"3880","Boxing Men's Light-Middleweight","Boxing","Summer","1972 Munich",1972
"3881","Swimming Men's 100 metres Freestyle","Swimming","Summer","1956 Melbourne",1956
"3882","Swimming Men's 4 x 200 metres Freestyle Relay","Swimming","Summer","1956 Melbourne",1956
"3883","Swimming Men's 1,500 metres Freestyle","Swimming","Summer","2008 Beijing",2008
"3884","Swimming Women's 100 metres Breaststroke","Swimming","Summer","1988 Seoul",1988
"3885","Swimming Women's 200 metres Breaststroke","Swimming","Summer","1988 Seoul",1988
"3886","Swimming Women's 200 metres Individual Medley","Swimming","Summer","1988 Seoul",1988
"3887","Swimming Women's 400 metres Individual Medley","Swimming","Summer","1988 Seoul",1988
"3888","Judo Women's Half-Middleweight","Judo","Summer","1992 Barcelona",1992
"3889","Table Tennis Men's Doubles","Table Tennis","Summer","2000 Sydney",2000
"3890","Boxing Men's Light-Flyweight","Boxing","Summer","1972 Munich",1972
"3891","Judo Men's Half-Middleweight","Judo","Summer","2000 Sydney",2000
"3892","Athletics Men's 50 kilometres Walk","Athletics","Summer","2016 Rio de Janeiro",2016
"3893","Luge Men's Singles","Luge","Winter","1972 Sapporo",1972
"3894","Luge Mixed (Men)'s Doubles","Luge","Winter","1972 Sapporo",1972
"3895","Rowing Men's Coxed Eights","Rowing","Summer","1968 Mexico City",1968
"3896","Fencing Women's epee, Individual","Fencing","Summer","1996 Atlanta",1996
"3897","Fencing Women's epee, Team","Fencing","Summer","1996 Atlanta",1996
"3898","Fencing Women's Foil, Individual","Fencing","Summer","2000 Sydney",2000
"3899","Modern Pentathlon Men's Individual","Modern Pentathlon","Summer","1984 Los Angeles",1984
"3900","Modern Pentathlon Men's Team","Modern Pentathlon","Summer","1984 Los Angeles",1984
"3901","Equestrianism Mixed Jumping, Team","Equestrianism","Summer","1960 Roma",1960
"3902","Equestrianism Mixed Jumping, Team","Equestrianism","Summer","1968 Mexico City",1968
"3903","Volleyball Women's Volleyball","Volleyball","Summer","1976 Montreal",1976
"3904","Canoeing Women's Kayak Fours, 500 metres","Canoeing","Summer","2000 Sydney",2000
"3905","Athletics Women's Javelin Throw","Athletics","Summer","1996 Atlanta",1996
"3906","Swimming Women's 400 metres Freestyle","Swimming","Summer","1956 Melbourne",1956
"3907","Weightlifting Men's Middleweight","Weightlifting","Summer","2000 Sydney",2000
"3908","Boxing Men's Middleweight","Boxing","Summer","1996 Atlanta",1996
"3909","Cycling Men's Team Pursuit, 4,000 metres","Cycling","Summer","2008 Beijing",2008
"3910","Cycling Men's Team Pursuit, 4,000 metres","Cycling","Summer","2012 London",2012
"3911","Cycling Men's Omnium","Cycling","Summer","2012 London",2012
"3912","Swimming Men's 400 metres Freestyle","Swimming","Summer","1964 Tokyo",1964
"3913","Swimming Men's 1,500 metres Freestyle","Swimming","Summer","1964 Tokyo",1964
"3914","Swimming Women's 200 metres Butterfly","Swimming","Summer","1992 Barcelona",1992
"3915","Swimming Men's 100 metres Backstroke","Swimming","Summer","1972 Munich",1972
"3916","Swimming Men's 200 metres Backstroke","Swimming","Summer","1972 Munich",1972
"3917","Swimming Men's 100 metres Butterfly","Swimming","Summer","1976 Montreal",1976
"3918","Rugby Men's Rugby","Rugby","Summer","1924 Paris",1924
"3919","Wrestling Men's Light-Flyweight, Freestyle","Wrestling","Summer","1972 Munich",1972
"3920","Swimming Men's 1,500 metres Freestyle","Swimming","Summer","2000 Sydney",2000
"3921","Swimming Women's 4 x 100 metres Freestyle Relay","Swimming","Summer","1932 Los Angeles",1932
"3922","Boxing Women's Lightweight","Boxing","Summer","2012 London",2012
"3923","Wrestling Men's Featherweight, Greco-Roman","Wrestling","Summer","1928 Amsterdam",1928
"3924","Swimming Women's 100 metres Freestyle","Swimming","Summer","1988 Seoul",1988
"3925","Athletics Men's 20 kilometres Walk","Athletics","Summer","2012 London",2012
"3926","Athletics Men's 20 kilometres Walk","Athletics","Summer","2016 Rio de Janeiro",2016
"3927","Rowing Women's Coxless Pairs","Rowing","Summer","1984 Los Angeles",1984
"3928","Rowing Women's Coxless Pairs","Rowing","Summer","1988 Seoul",1988
"3929","Cycling Men's Tandem Sprint, 2,000 metres","Cycling","Summer","1952 Helsinki",1952
"3930","Cross Country Skiing Men's 4 x 10 kilometres Relay","Cross Country Skiing","Winter","1964 Innsbruck",1964
"3931","Diving Men's Platform","Diving","Summer","1988 Seoul",1988
"3932","Luge Men's Singles","Luge","Winter","1968 Grenoble",1968
"3933","Luge Men's Singles","Luge","Winter","1976 Innsbruck",1976
"3934","Luge Mixed (Men)'s Doubles","Luge","Winter","1976 Innsbruck",1976
"3935","Basketball Women's Basketball","Basketball","Summer","1988 Seoul",1988
"3936","Wrestling Men's Middleweight, Freestyle","Wrestling","Summer","1956 Melbourne",1956
"3937","Equestrianism Mixed Hacks And Hunter Combined","Equestrianism","Summer","1900 Paris",1900
"3938","Athletics Women's High Jump","Athletics","Summer","1960 Roma",1960
"3939","Badminton Mixed Doubles","Badminton","Summer","2000 Sydney",2000
"3940","Badminton Men's Doubles","Badminton","Summer","2000 Sydney",2000
"3941","Figure Skating Mixed Pairs","Figure Skating","Winter","2002 Salt Lake City",2002
"3942","Alpine Skiing Women's Downhill","Alpine Skiing","Winter","1980 Lake Placid",1980
"3943","Athletics Men's Pole Vault","Athletics","Summer","1908 London",1908
"3944","Fencing Men's Sabre, Team","Fencing","Summer","1984 Los Angeles",1984
"3945","Boxing Men's Featherweight","Boxing","Summer","2008 Beijing",2008
"3946","Boxing Men's Welterweight","Boxing","Summer","2016 Rio de Janeiro",2016
"3947","Athletics Women's High Jump","Athletics","Summer","1936 Berlin",1936
"3948","Athletics Women's 4 x 100 metres Relay","Athletics","Summer","1964 Tokyo",1964
"3949","Art Competitions Mixed Architecture, Unknown Event","Art Competitions","Summer","1948 London",1948
"3950","Art Competitions Mixed Literature","Art Competitions","Summer","1924 Paris",1924
"3951","Cycling Men's Road Race, Individual","Cycling","Summer","1920 Antwerpen",1920
"3952","Cycling Men's Road Race, Team","Cycling","Summer","1920 Antwerpen",1920
"3953","Wrestling Men's Featherweight, Freestyle","Wrestling","Summer","1932 Los Angeles",1932
"3954","Cycling Men's 100 kilometres Team Time Trial","Cycling","Summer","1976 Montreal",1976
"3955","Judo Men's Half-Lightweight","Judo","Summer","2000 Sydney",2000
"3956","Tennis Women's Singles","Tennis","Summer","1920 Antwerpen",1920
"3957","Tennis Women's Doubles","Tennis","Summer","1920 Antwerpen",1920
"3958","Diving Women's Springboard","Diving","Summer","1980 Moskva",1980
"3959","Tennis Men's Singles","Tennis","Summer","1912 Stockholm",1912
"3960","Athletics Men's Pole Vault","Athletics","Summer","2012 London",2012
"3961","Athletics Men's Pole Vault","Athletics","Summer","2016 Rio de Janeiro",2016
"3962","Sailing Mixed 10 metres","Sailing","Summer","1920 Antwerpen",1920
"3963","Wrestling Men's Bantamweight, Greco-Roman","Wrestling","Summer","1948 London",1948
"3964","Athletics Men's 1,500 metres","Athletics","Summer","1968 Mexico City",1968
"3965","Athletics Men's 400 metres Hurdles","Athletics","Summer","1936 Berlin",1936
"3966","Swimming Men's 100 metres Breaststroke","Swimming","Summer","1968 Mexico City",1968
"3967","Swimming Men's 200 metres Breaststroke","Swimming","Summer","1968 Mexico City",1968
"3968","Swimming Men's 200 metres Individual Medley","Swimming","Summer","1972 Munich",1972
"3969","Judo Men's Half-Lightweight","Judo","Summer","1980 Moskva",1980
"3970","Wrestling Men's Light-Heavyweight, Greco-Roman","Wrestling","Summer","1936 Berlin",1936
"3971","Equestrianism Men's Three-Day Event, Individual","Equestrianism","Summer","1960 Roma",1960
"3972","Equestrianism Men's Three-Day Event, Team","Equestrianism","Summer","1960 Roma",1960
"3973","Cycling Men's Sprint","Cycling","Summer","1956 Melbourne",1956
"3974","Cycling Men's 1,000 metres Time Trial","Cycling","Summer","1956 Melbourne",1956
"3975","Cycling Men's Sprint","Cycling","Summer","1960 Roma",1960
"3976","Cycling Men's 1,000 metres Time Trial","Cycling","Summer","1960 Roma",1960
"3977","Wrestling Men's Middleweight, Greco-Roman","Wrestling","Summer","1992 Barcelona",1992
"3978","Wrestling Men's Middleweight, Greco-Roman","Wrestling","Summer","1996 Atlanta",1996
"3979","Boxing Men's Light-Flyweight","Boxing","Summer","2016 Rio de Janeiro",2016
"3980","Fencing Women's Sabre, Individual","Fencing","Summer","2004 Athina",2004
"3981","Equestrianism Men's Three-Day Event, Individual","Equestrianism","Summer","1932 Los Angeles",1932
"3982","Equestrianism Men's Three-Day Event, Team","Equestrianism","Summer","1932 Los Angeles",1932
"3983","Boxing Men's Lightweight","Boxing","Summer","1948 London",1948
"3984","Athletics Men's Pentathlon","Athletics","Summer","1924 Paris",1924
"3985","Cycling Men's Mountainbike, Cross-Country","Cycling","Summer","1996 Atlanta",1996
"3986","Shooting Men's Trap","Shooting","Summer","1920 Antwerpen",1920
"3987","Shooting Men's Trap, Team","Shooting","Summer","1920 Antwerpen",1920
"3988","Athletics Men's Shot Put","Athletics","Summer","1960 Roma",1960
"3989","Athletics Men's Discus Throw","Athletics","Summer","1964 Tokyo",1964
"3990","Boxing Men's Heavyweight","Boxing","Summer","2000 Sydney",2000
"3991","Boxing Men's Light-Heavyweight","Boxing","Summer","2004 Athina",2004
"3992","Rowing Men's Quadruple Sculls","Rowing","Summer","1992 Barcelona",1992
"3993","Boxing Men's Super-Heavyweight","Boxing","Summer","2012 London",2012
